text,product_title,rating,timestamp,user_id,asin,label,perplexity
"First & most offensive: they reek of gasoline so if you are sensitive/allergic to petroleum products like I am you will want to pass on these.  Second: the phone adapter is useless as-is. Mine was not drilled far enough to be able to tighten it into place for my iPhone 12 max. It just slipped & slid all over. Stupid me putting the adapter together first without picking up the binoculars to smell them bc I wasted 15 minutes trying to figure out how to put the adapter together bc it does not come with instructions!  I had to come back here to the website which was a total pain. Third: the tripod is also useless. I would not trust the iOS to hold my $1600 phone nor even a Mattel Barbie for that matter. It’s just inefficient for the job imo.  Third: in order to try to give an honest review I did don gloves & eyewear to check the binoculars out.  They seemed average except for mine seemed to be missing about 10% of the film costing in the lower edge of one of the lenses which would have ruined every video & photograph unplanned to take so for me these are a very huge hard pass.  I expect the accessories that come with the main product to be as good or better than the product I’m buying. Otherwise I would just buy the product as a stand alone.  Sadly, I found a decent pair of binoculars last year with a much better quality phone adapter & tripod, but they had a defect too.  Guess I’m going to have to pay more.  Ugh.","Binoculars, 12x42 Binoculars for Adults, Binoculars for Hunting, Compact Binoculars with Tripod, Smartphone Adapter for Hunting, Bird Watching, Hiking, Traveling and Sports",3.0,1658185117948,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,B083NRGZMM,Human,49.465755462646484
"These didn’t work. Idk if they were damaged in shipping or what, but the lenses were loose or something. I could see half a lens with its edge in the frame and the rest was missing. It looked like it came loose or was broken.","Toys for 4-5 Year Old Boys, Mom&myaboys 8 X 21 Kids Binoculars for Children,Compact Telescope Boys Gifts 4-8 Years Old to Bird Watching &Scenery(Yellow)",1.0,1592678549731,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,B07N69T6TM,Human,42.10440444946289
"I love these. They even come with a carry case and several sizes of ear bud inserts. Thank heaven!  I get ear pain from most, but the smallest buds fit great.  They also have a charger and all of it fits in the carry case. I just wish they came in more colors preferably something bright!  When I leave them on my nightstand it takes a while to figure out which of half a dozen black cables are the right ones. Even white would be ok as only my iPhone has a white cord.","Senso Bluetooth Headphones, Best Wireless Sports Earbuds w/Mic IPX7 Waterproof HD Stereo Sweatproof Earphones for Gym Running Workout Noise Cancelling Earphones Earbuds Noise Cancelling Headsets",5.0,1523093017534,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,B01G8JO5F2,Human,52.18466567993164
"I was searching for a sturdy backpack for school that would allow me to carry my laptop as well as schoolbooks. After reading many of the reviews of this bag, I placed my order and crossed my fingers. I shouldn't have worried; it's a great bag! Solidly built and traveler-friendly with a ton of compartments for every little thing one might need to stow away. While this backpack is slightly larger than your average backpack, it is comfortable to wear trekking cross campus. Also, another aspect of this bag that I love is that it stands upright. I know that sounds kinda crazy, but I find it annoying when your backpack flops over next to your desk and stuff kind of just falls out, or if you need to grab something quickly out of the bag you have to awkwardly curl your body around the side of your chair and then on the way up, smash your head against the desk. So yeah, lazy girl (points to self) loves the convenience of a bag that stands upright for easy grabbage. I plan to travel with this backpack when I fly home this Christmas instead of bringing a bulky tote bag on the plane.","Targus Air Traveler Laptop Backpack, Professional Business Bag with TSA Security Checkpoint-Friendly, Durable Material, Multiple Accessory Pockets, Protective for 16-Inch Laptop, Black (TBB012US)",5.0,1290278495000,AGGZ357AO26RQZVRLGU4D4N52DZQ,B001OC5JKY,Human,29.138484954833984
I've bought these headphones three times because I love them so much and overuse them and find ways to break the plug to where I can't use my warranty. The sound and bass are awesome. Hands down my favorite headphones in this price bracket.,Edifier P841 Comfortable Noise Isolating Over-Ear Headphones with Microphone and Volume Controls - White,5.0,1676601581238,AG2L7H23R5LLKDKLBEF2Q3L2MVDA,B07CJYMRWM,Human,32.9592399597168
"Light weight, quiet and totally awesome!!! It doesn’t come with a charging base, but the cord ends in a USB so you can plug it into a phone charger or portable charger. Anything with USB! It’s  so light and works great! It’s really quiet also!!!","Fancii Small Personal Desk USB Fan, Portable Mini Table Fan with Twin Turbo Blades, Whisper Quiet Cyclone Air Technology - For Home, Office, Outdoor Travel (Black)",5.0,1637522881041,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,B07CML419K,Human,57.28779602050781
Update 2-they sent a new warranty replacement. Good company.<br />Update-  was 5 star until they left headphone died after 1.5 years.  Will contact support.<br />old:<br />love them.  a bit noisy when you're jogging.  but solid for biking or chilling around the house,"Bluetooth Headphones, Soundcore Spirit Sports Earbuds by Anker, Bluetooth 5.0, 8H Battery, IPX7 Waterproof, SweatGuard, Comfortable Wireless Headphones, Secure Fit for Running, Gym, Workout",5.0,1565130879386,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,B07BHHB5RH,Human,155.85028076171875
These are fantastic headphones and I love that i can have my cell phone plugged in at a central location in my house and walk around the house and still listen to music or my book. the range for me is about 30' and the headphones will disconnect if i go outside and then reconnect when i get close to my phone again. If my phone is in my pocket it will stay connected where ever i go. I love listening to things without being attached or tethered to my phone. It also makes it harder for my kids to pull the earphones out of my ears when there is no long cord attached to my phone. I love the 1 click pause feature so i can quickly pause what i am listening to talk to someone (i don't have to go find my phone and swipe and pause). They are comfortable and stay on really well for my ears. I have taken them running and they stayed on as well. I had an issue about 1 year after I bought the headphones and the customer service was wonderful and understanding. really great product and I will continue to purchase and recommend these to my friends.,"Otium Bluetooth Earbuds Wireless Headphones Bluetooth Headphones, Sports Earbuds, IPX7 Waterproof Stereo Earphones for Gym Running 15 Hours Playtime Sound Isolation Headsets",5.0,1541356831659,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,B09S6Y5BRG,Human,22.78899383544922
pretty good for the price.,Logitech Z313 Speaker System + Logitech Bluetooth Audio Adapter Bundle,5.0,1456772571000,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,B01LW71IBJ,Human,23.990097045898438
yes.. so good.  just buy it. my favorite feature is it auto connects and remembers my devices.,Bose SoundLink Mini Bluetooth Speaker II (Carbon),5.0,1456772365000,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,B017T99JPG,Human,148.2749481201172
